,bleu,meteor,rouge1,bertscore_precision,rouge2,rougeL,rougeLsum,bertscore_recall,bertscore_f1
0.2,0.3659285544042805,0.5941950035064831,0.6452695949368761,0.9322243461898616,0.5008066822598543,0.598608844220065,0.6009037457051859,0.9272618072286695,0.9293675742661951
0.35,0.34430167885152607,0.5310192720860676,0.6108276369504047,0.9236185587652846,0.42592812712521755,0.5387318126459832,0.5418981520617201,0.9165103282651808,0.9196893222471835
0.5,0.231778001066236,0.4396496967873075,0.5078368439164878,0.9108508136131348,0.3309486920464474,0.4524327063753134,0.4558385605484745,0.9018199606975021,0.9059644109546098
0.65,0.12574790471580952,0.3363350037418727,0.41080761200504723,0.8965910046106738,0.2291693458708043,0.35280487890083684,0.35732523790147613,0.8841611569540899,0.8899738302993938
0.8,0.04661558867192741,0.26545719136071966,0.33827939910873883,0.8869024129888445,0.16565760468652985,0.28117613467302105,0.2865759216650937,0.8705337978522825,0.8783124464316958
