,bleu,meteor,rouge1,bertscore_precision,rouge2,rougeL,rougeLsum,bertscore_recall,bertscore_f1
0.2,0.31398473049950437,0.5554831347673185,0.6068799215180448,0.9263983669930135,0.45713985147255354,0.5570822017999107,0.5598793344647567,0.920649393195891,0.9231782136765968
0.35,0.2397842528951262,0.4718398535216355,0.5388129796795074,0.9161711673587534,0.37059519352367076,0.48269162193293613,0.48592522486575185,0.9069977814447094,0.9112218661791815
0.5,0.15476924438040912,0.3937388168301262,0.4655657257759659,0.9058743948613297,0.2895898114346346,0.40463735613401025,0.40846480302528176,0.8944830637684232,0.8998092849411141
0.65,0.09943279920575201,0.3315746073355341,0.40549805463708155,0.8970617135436321,0.22602787022346382,0.34321760379023397,0.34826731748418926,0.8845954293472743,0.8904729254180177
0.8,0.05307773986042373,0.2739350416327096,0.3493161245045463,0.8898770148010817,0.17685653189278944,0.28986065603638633,0.29497369405096663,0.8733688653384423,0.8812149664182874
